release_date,decade,is_modern,is_2000s,log_budget,source,director_popularity,actor_popularity,avg_actor_popularity,producer_popularity,popularity,vote_average,has_rating,genre_count,budget_x_director,budget_x_actor,popularity_x_vote,lang_en,lang_hi,lang_kn,lang_ml,lang_ta,lang_te,genre_Drama,genre_Action,genre_Romance,genre_Comedy,genre_Thriller,genre_Crime,genre_Family,genre_Horror,genre_Mystery,genre_Adventure,genre_Fantasy,genre_Music,genre_Science_Fiction,genre_Animation,target
1934.0,1930.0,0.0,0.0,14.063820986844226,0.0,0.0,0.0,0.0,0.0,2.418,7.8,1.0,2.0,0.0,0.0,18.860400000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1935.0,1930.0,0.0,0.0,14.255711858443288,0.0,19.659875298591906,-0.99146315,13.081883417353952,8.11141180862441,2.2883,7.513,1.0,2.0,280.2655174296529,186.49156056354533,17.1919979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,Hit
1935.0,1930.0,0.0,0.0,15.855579805973957,0.0,0.0,0.0,4.282051282051282,0.0,1.5588,7.4,1.0,3.0,0.0,67.89440583583719,11.535120000000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hit
1936.0,1930.0,0.0,0.0,14.635017467182832,0.0,0.0,5.285113600226141,1.7617045334087136,0.0,1.6375,7.574,1.0,1.0,0.0,25.782576618451706,12.402425,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1936.0,1930.0,0.0,0.0,15.593215580512377,0.0,2.5835139039364385,2.5835139039364385,0.8611713013121461,2.5835139039364385,5.5052,8.281,1.0,3.0,40.28528925933203,13.428429753110676,45.58856120000001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1938.0,1930.0,0.0,0.0,15.585467643925094,0.0,0.0,0.0,0.0,0.0,11.1521,7.122,1.0,3.0,0.0,0.0,79.4252562,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Hit
1938.0,1930.0,0.0,0.0,15.897262962736278,0.0,0.0,0.0,0.0,0.0,2.1715,7.477,1.0,3.0,0.0,0.0,16.2363055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,15.593215580512377,0.0,12.846153846153845,0.0,-0.3057876016260162,0.0,1.6169,7.829,1.0,2.0,200.31284630350513,-4.768211994002308,12.6587101,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,16.574044727883088,0.0,0.0,0.0,4.282051282051282,0.0,8.1586,7.916,1.0,3.0,0.0,70.97090947580706,64.5834776,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,15.775537109135396,0.0,0.0,1.2871794871794875,0.42905982905982915,0.0,3.2842,7.317,1.0,3.0,0.0,6.768649255372624,24.0304914,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,16.209121603002654,0.0,0.0,0.0,0.0,0.0,10.528,7.585,1.0,3.0,0.0,0.0,79.85488000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,14.555461606300879,0.0,0.0,0.0,0.0,0.0,3.0408,7.609,1.0,2.0,0.0,0.0,23.1374472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Hit
1940.0,1940.0,0.0,0.0,15.880897610707754,0.0,1.7890092692909592,1.7890092692909592,0.5963364230969864,1.7890092692909592,7.1453,8.282,1.0,2.0,28.41107303021682,9.47035767673894,59.1773746,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1941.0,1940.0,0.0,0.0,14.979495676797562,0.0,0.0,0.0,0.0,70.4285714285714,5.2439,6.986,1.0,2.0,0.0,0.0,36.6338854,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hit
1941.0,1940.0,0.0,0.0,15.285784273512537,0.0,0.0,0.0,0.0,0.0,2.1789,7.126,1.0,3.0,0.0,0.0,15.5268414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1941.0,1940.0,0.0,0.0,14.964607068987403,0.0,1.0771753981188388,0.0,0.0,2.6887417218543046,2.1693,7.314,1.0,1.0,16.119506577228496,0.0,15.8662602,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1941.0,1940.0,0.0,0.0,14.206921726469195,0.0,0.0,0.0,0.0,0.0,2.6063,7.704,1.0,3.0,0.0,0.0,20.0789352,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1942.0,1940.0,0.0,0.0,15.370072071454569,0.0,0.0,0.0,0.0,0.0,1.6329,7.8,1.0,3.0,0.0,0.0,12.73662,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1942.0,1940.0,0.0,0.0,13.177836716423641,0.0,0.0,0.0,0.0,0.0,1.8462,6.934,1.0,3.0,0.0,0.0,12.801550800000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
1942.0,1940.0,0.0,0.0,14.939289269129343,0.0,3.079782411604715,0.0,0.0,1.2871794871794875,1.4276,6.884,1.0,1.0,46.00976033293961,0.0,9.827598400000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1943.0,1940.0,0.0,0.0,15.057641906799702,0.0,0.9581898671913424,3.7253333333333316,1.2417777777777772,0.9581898671913424,8.3096,8.142,1.0,2.0,14.428079898891198,18.698245105599266,67.65676319999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1943.0,1940.0,0.0,0.0,15.60382575784048,0.0,0.0,3.079782411604715,1.0265941372015717,0.0,1.8642,6.8,1.0,1.0,0.0,16.01879604091391,12.67656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1944.0,1940.0,0.0,0.0,15.651484479068865,0.0,1.8411732570844086,0.0,0.0,0.0,2.4234,7.4,1.0,2.0,28.81709465653329,0.0,17.93316,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Flop
1944.0,1940.0,0.0,0.0,15.207553179241854,0.0,0.0,0.0,0.0,0.0,2.0991,7.6,1.0,2.0,0.0,0.0,15.953159999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Hit
