movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,year
9870,Forgetting Sarah Marshall,17-04-2008,"Comedy, Romance, Drama",Nicholas Stoller,"Jason Segel, Kristen Bell, Mila Kunis, Russell Brand, Bill Hader","Judd Apatow, Shauna Robertson",44859059.09346363,157265566.02762154,3.3143,6.504,3651,2008
2322,Sneakers,09-09-1992,"Comedy, Crime, Drama",Phil Alden Robinson,"Robert Redford, Sidney Poitier, David Strathairn, Dan Aykroyd, River Phoenix","Lawrence Lasker, Walter F. Parkes",52777540.98360655,241474898.35076973,6.5746,6.913,1041,1992
582014,Promising Young Woman,13-12-2020,"Thriller, Crime, Drama",Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge","Emerald Fennell, Margot Robbie",12439308.993821748,25350819.132772565,4.7212,7.392,3653,2020
77950,Turbo,11-07-2013,"Animation, Family",David Soren,"Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson, Luis Guzmán",Lisa Stewart,186567928.84523752,390508347.3564907,4.7618,6.266,3647,2013
914,The Great Dictator,15-10-1940,"Comedy, War",Charlie Chaplin,"Charlie Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",Charlie Chaplin,45991857.14285714,252955214.2857143,7.1453,8.282,3671,1940
9390,Jerry Maguire,13-12-1996,"Comedy, Drama, Romance",Cameron Crowe,"Tom Cruise, Renée Zellweger, Cuba Gooding Jr., Kelly Preston, Jerry O'Connell","James L. Brooks, Cameron Crowe",102594964.94582537,561399648.1835564,4.8846,7,3662,1996
926393,The Equalizer 3,30-08-2023,"Action, Thriller, Crime",Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro","Todd Black, Denzel Washington",73960820.73632598,201878765.0526744,10.3583,7.29,3644,2023
65086,The Woman in Black,03-02-2012,"Drama, Horror, Thriller",James Watkins,"Daniel Radcliffe, Ciarán Hinds, Janet McTeer, Liz White, Tim McMullan","Richard Jackson, Simon Oakes",44871277.12396666,180887335.90599057,3.6308,6.141,3639,2012
160588,Blue Jasmine,01-08-2013,Drama,Woody Allen,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Peter Sarsgaard, Bobby Cannavale","Letty Aronson, Edward Walson",24875723.84603167,136961318.67328304,2.3772,6.982,3630,2013
50456,Hanna,07-04-2011,"Action, Thriller, Adventure",Joe Wright,"Saoirse Ronan, Eric Bana, Cate Blanchett, Tom Hollander, Jessica Barden","Leslie Holleran, Marty Adelstein",42937374.13,91287831.53456715,4.0176,6.586,3630,2011
57212,War Horse,25-12-2011,"War, History, Adventure",Steven Spielberg,"Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup, David Thewlis","Steven Spielberg, Kathleen Kennedy",94462223.09159373,254167612.99684358,5.0927,7.302,3646,2011
9291,The Longest Yard,27-05-2005,"Drama, Comedy, Crime",Peter Segal,"Adam Sandler, Chris Rock, James Cromwell, Nelly, Michael Irvin",Jack Giarraputo,148360829.49308753,315623745.20382994,5.4212,6.667,3637,2005
512196,Happy Death Day 2U,13-02-2019,"Comedy, Horror, Science Fiction",Christopher Landon,"Jessica Rothe, Israel Broussard, Charles Aitken, Ruby Modine, Suraj Sharma",Jason Blum,11333493.704455577,81349490.66654149,2.6384,6.323,3626,2019
13387,Transporter 3,26-11-2008,"Action, Thriller, Crime",Olivier Megaton,"Jason Statham, Natalya Rudakova, François Berléand, Robert Knepper, Jeroen Krabbé","Luc Besson, Steven Chasman",44859059.09346363,162987914.7062512,3.7655,6.162,3628,2008
587792,Palm Springs,10-07-2020,"Comedy, Romance, Science Fiction",Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher, Meredith Hagner","Andy Samberg, Jorma Taccone",6219654.496910874,2261985.094261836,4.8764,7.336,3632,2020
107846,Escape Plan,09-10-2013,"Action, Thriller",Mikael Håfström,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, 50 Cent, Sam Neill","Robbie Brenner, Mark Canton",69099232.90564352,189785605.10670638,5.8754,6.722,5539,2013
817,Austin Powers: The Spy Who Shagged Me,08-06-1999,"Comedy, Adventure, Crime",Jay Roach,"Mike Myers, Heather Graham, Verne Troyer, Michael York, Robert Wagner","Eric McLeod, Jennifer Todd",63770222.08883553,602951175.5768547,4.6632,6.3,3635,1999
10009,Brother Bear,23-10-2003,"Adventure, Animation, Family",Aaron Blaise,"Joaquin Phoenix, Jeremy Suarez, Jason Raize, Rick Moranis, Dave Thomas",Chuck Williams,223960347.82608694,438118577.61692387,5.7063,7.3,5714,2003
11674,101 Dalmatians,27-11-1996,"Family, Comedy",Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright, Hugh Laurie","John Hughes, Ricardo Mestres",110802562.1414914,658022137.5286297,6.2072,5.9,3602,1996
454,Romeo + Juliet,01-11-1996,"Drama, Romance",Baz Luhrmann,"Leonardo DiCaprio, Claire Danes, Jesse Bradford, Vondie Curtis-Hall, Brian Dennehy","Baz Luhrmann, Gabriella Martinelli",29752539.834289353,302242224.42717016,6.7184,6.78,5309,1996
975,Paths of Glory,25-10-1957,"War, Drama",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready, Wayne Morris","James B. Harris, Kirk Douglas",10712338.256227758,13748455.516014233,6.7495,8.257,3247,1957
570670,The Invisible Man,26-02-2020,"Thriller, Science Fiction, Horror",Leigh Whannell,"Elisabeth Moss, Aldis Hodge, Storm Reid, Michael Dorman, Harriet Dyer","Jason Blum, Kylie du Fresne",8707516.295675224,179738964.11950034,6.3601,7.093,6198,2020
17431,Moon,12-06-2009,"Science Fiction, Drama",Duncan Jones,"Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, Adrienne Shaw","Nicky Bentham, Stuart Fenegan",7503204.575,14646411.39790339,5.3229,7.569,6203,2009
531428,Portrait of a Lady on Fire,06-09-2019,"Drama, Romance",Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras",Bénédicte Couvreur,7228250.429286113,12495966.375890352,7.1979,8.098,2896,2019
10999,Commando,03-10-1985,"Action, Adventure, Thriller",Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells, James Olson",Joel Silver,29920353.16,172042030.7,6.5127,6.696,3091,1985
1669,The Hunt for Red October,02-03-1990,"Action, Thriller",John McTiernan,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, James Earl Jones",Mace Neufeld,73896633.51185922,493906976.47550887,4.9917,7.38,3584,1990
9872,Explorers,12-07-1985,"Science Fiction, Adventure, Family",Joe Dante,"Ethan Hawke, River Phoenix, Jason Presson, Amanda Peterson, Bobby Fite","David Bombyk, Edward S. Feldman",74800882.89962825,29621149.62825279,6.9056,6.3,489,1985
600354,The Father,23-12-2020,Drama,Florian Zeller,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots","Simon Friend, Christophe Spadone",7463585.396293049,26159045.819613542,4.993,8.096,3583,2020
449563,Isn't It Romantic,13-02-2019,"Comedy, Fantasy, Romance",Todd Strauss-Schulson,"Rebel Wilson, Liam Hemsworth, Adam Devine, Priyanka Chopra Jonas, Betty Gilpin","Grant Scharbo, Todd Garner",39037589.43,61452721.41971469,2.2616,6.199,3577,2019
280092,Insidious: Chapter 3,28-05-2015,"Horror, Thriller",Leigh Whannell,"Stefanie Scott, Lin Shaye, Dermot Mulroney, Leigh Whannell, Angus Sampson","James Wan, Oren Peli",13583118.51048659,163612947.93270102,3.8956,6.3,3579,2015
59962,This Means War,14-02-2012,"Action, Comedy, Romance",McG,"Reese Witherspoon, Chris Pine, Tom Hardy, Til Schweiger, Chelsea Handler","Simon Kinberg, Will Smith",91144781.65805727,220114026.51746562,3.4148,6.18,3573,2012
1443,The Virgin Suicides,21-04-2000,"Drama, Romance",Sofia Coppola,"Kirsten Dunst, Josh Hartnett, James Woods, Kathleen Turner, Michael Paré","Dan Halsted, Chris Hanley",11217526.13240418,19461243.086591173,4.9779,7.13,3572,2000
7735,The Wave,13-03-2008,"Drama, Thriller",Dennis Gansel,"Jürgen Vogel, Frederick Lau, Max Riemelt, Jennifer Ulrich, Christiane Paul",Christian Becker,11214764.773365907,48373971.22980636,3.178,7.482,3581,2008
429197,Vice,25-12-2018,"Drama, Comedy",Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill","Adam McKay, Will Ferrell",76925693.03125758,97567420.66131172,4.6689,7.018,3570,2018
261023,Black Mass,17-09-2015,"Drama, Crime, History",Scott Cooper,"Johnny Depp, Joel Edgerton, Julianne Nicholson, Dakota Johnson, Kevin Bacon","Scott Cooper, Patrick McCormick",71990528.10557893,135798148.2440247,3.7402,6.53,3567,2015
295964,Burnt,02-10-2015,Drama,John Wells,"Bradley Cooper, Sienna Miller, Omar Sy, Daniel Brühl, Riccardo Scamarcio","Stacey Sher, John Wells",27166237.02097318,49723372.84519254,3.9679,6.527,3553,2015
458423,Mamma Mia! Here We Go Again,18-07-2018,"Comedy, Romance",Ol Parker,"Lily James, Amanda Seyfried, Meryl Streep, Cher, Andy Garcia","Judy Craymer, Gary Goetzman",96157116.28907199,507206805.62597615,3.3527,7.079,3549,2018
27582,The Mechanic,13-01-2011,"Action, Thriller, Crime",Simon West,"Jason Statham, Ben Foster, Donald Sutherland, Mini Anden, Tony Goldwyn","William Chartoff, René Besson",57249832.176723465,73094878.24699585,5.7058,6.53,3552,2011
314,Catwoman,22-07-2004,"Action, Fantasy, Crime",Pitof,"Halle Berry, Benjamin Bratt, Sharon Stone, Lambert Wilson, Frances Conroy","Denise Di Novi, Edward McDonnell",170430386.4,139927401.81258336,3.6509,4.6,3550,2004
6795,Zathura: A Space Adventure,06-11-2005,"Science Fiction, Adventure, Family",Jon Favreau,"Josh Hutcherson, Jonah Bobo, Dax Shepard, Kristen Stewart, Tim Robbins","William Teitler, Scott Kroopf",107149487.96722989,107279887.24563234,3.6808,6.431,3540,2005
8487,Wild Wild West,30-06-1999,"Action, Adventure, Comedy, Science Fiction, Western",Barry Sonnenfeld,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek Pinault, M. Emmet Walsh","Jon Peters, Barry Sonnenfeld",328513265.3061224,429201964.67696875,3.8745,5.319,3551,1999
58233,Johnny English Reborn,15-09-2011,"Crime, Action, Comedy",Oliver Parker,"Rowan Atkinson, Gillian Anderson, Dominic West, Rosamund Pike, Daniel Kaluuya","Eric Fellner, Chris Clark",64406061.2,229111804.58967987,4.3169,6.242,3549,2011
8367,Robin Hood: Prince of Thieves,14-06-1991,"Action, Adventure, Drama",Kevin Reynolds,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater, Alan Rickman","John Watson, Pen Densham",113460088.10572687,923030691.8006167,5.1087,6.854,3545,1991
4476,Legends of the Fall,23-12-1994,"Drama, Western, Romance, War",Edward Zwick,"Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond, Henry Thomas","Marshall Herskovitz, William D. Wittliff",65170647.773279354,348964668.7562011,5.0999,7.382,2819,1994
782,Gattaca,09-07-1997,"Thriller, Science Fiction, Mystery, Romance",Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law, Alan Arkin, Loren Dean","Danny DeVito, Michael Shamberg",72211514.01869158,25139188.945239875,6.948,7.566,6855,1997
464052,Wonder Woman 1984,16-12-2020,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal, Robin Wright","Gal Gadot, Zack Snyder",248786179.87643495,210971969.2476286,6.3633,6.369,8986,2020
1830,Lord of War,16-09-2005,"Crime, Drama, Thriller",Andrew Niccol,"Nicolas Cage, Bridget Moynahan, Jared Leto, Ethan Hawke, Eamonn Walker","Nicolas Cage, Andreas Grosch",82422683.05,119677735.79109061,6.2373,7.343,5270,2005
1245993,Caught Stealing,26-08-2025,"Crime, Thriller, Comedy",Darren Aronofsky,"Austin Butler, Regina King, Zoë Kravitz, Matt Smith, Liev Schreiber","Darren Aronofsky, Ari Handel",40000000,32703294,6.0266,6.9,885,2025
127380,Finding Dory,16-06-2016,"Adventure, Animation, Family",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Ed O'Neill, Hayden Rolence, Diane Keaton",Lindsey Collins,268278008.5580837,1380648490.4174752,5.5276,7.039,12596,2016
82507,Sinister,29-03-2012,"Horror, Thriller, Mystery",Scott Derrickson,"Ethan Hawke, Juliet Rylance, Vincent D'Onofrio, James Ransone, Fred Thompson","Brian Kavanaugh-Jones, Jason Blum",4206682.230371874,115704953.19807574,6.042,6.9,5977,2012
263472,Knock Knock,26-06-2015,"Horror, Thriller",Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns, Colleen Camp","Cassian Elwes, Eli Roth",13583118.51048659,8613984.532805663,6.6105,5.385,3454,2015
613504,After We Collided,02-09-2020,"Drama, Romance",Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard, Charlie Weber","Michael Wexler, Aron Levitz",17415032.591350447,59696758.84874291,5.5881,7.156,5451,2020
556574,Hamilton,05-09-2025,"History, Drama",Thomas Kail,"Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry, Phillipa Soo, Daveed Diggs","Thomas Kail, Lin-Manuel Miranda",12500000,20659643,6.027,7.635,96,2025
109431,Identity Thief,07-02-2013,"Comedy, Crime",Seth Gordon,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet, T.I.","Jason Bateman, Scott Stuber",48369463.03395047,240416974.8684521,3.6585,5.851,3496,2013
74643,The Artist,12-10-2011,"Drama, Comedy, Romance",Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller",Thomas Langmann,21468687.07,190975215.3215227,4.4754,7.44,3489,2011
21484,Possession,27-05-1981,Horror,Andrzej Żuławski,"Isabelle Adjani, Sam Neill, Margit Carstensen, Heinz Bennent, Johanna Hofer",Marie-Laure Reyre,8500145.215,4250072.607260725,6.4302,7.326,1305,1981
392,Chocolat,22-12-2000,"Comedy, Drama, Romance",Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Lena Olin, Johnny Depp","David Brown, Leslie Holleran",46739692.21835075,285487210.43157953,6.2814,6.972,3487,2000
8619,Master and Commander: The Far Side of the World,14-11-2003,"Adventure, Drama, War",Peter Weir,"Russell Crowe, Paul Bettany, James D'Arcy, Robert Pugh, David Threlfall","Duncan Henderson, Samuel Goldwyn Jr.",262453532.60869563,370275429.4945815,3.5914,7.188,3480,2003
766,Army of Darkness,31-10-1992,"Fantasy, Horror, Comedy",Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove",Robert Tapert,25241432.644333567,49342356.39606556,3.9249,7.262,3482,1992
1103,Escape from New York,23-05-1981,"Action, Thriller, Science Fiction",John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence, Isaac Hayes","Debra Hill, Larry Franco",21250363.03630363,177953019.27502748,4.3363,7.046,3479,1981
46705,Blue Valentine,26-12-2010,"Drama, Romance",Derek Cianfrance,"Ryan Gosling, Michelle Williams, John Doman, Mike Vogel, Ben Shenkman","Lynette Howell Taylor, Alex Orlovsky",1476423.487544484,22796470.296708185,5.7875,6.962,3485,2010
1966,Alexander,21-11-2004,"War, History, Action, Adventure, Drama, Romance",Oliver Stone,"Colin Farrell, Angelina Jolie, Val Kilmer, Jared Leto, Jonathan Rhys Meyers","Jon Kilik, Moritz Borman",264167098.9941768,285126955.1458761,5.0981,6,3477,2004
7512,Idiocracy,01-09-2006,"Comedy, Science Fiction, Adventure",Mike Judge,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, Anthony 'Citric' Campos","Mike Judge, Elysa Koplovitz Dutton",47908184.52380952,790968.9173065476,8.0813,6.369,3485,2006
22804,Saw VI,22-10-2009,"Horror, Thriller",Kevin Greutert,"Tobin Bell, Costas Mandylor, Mark Rolston, Betsy Russell, Shawnee Smith","Mark Burg, Gregg Hoffman",16507050.065955987,104673308.36678988,4.4293,6.29,3473,2009
3594,The Number 23,23-02-2007,"Thriller, Mystery, Crime",Joel Schumacher,"Jim Carrey, Virginia Madsen, Logan Lerman, Danny Huston, Lynn Collins","Beau Flynn, Tripp Vinson",46581445.14859507,120611089.14488621,3.0193,6.412,3471,2007
872,Singin' in the Rain,10-04-1952,"Comedy, Romance",Stanley Donen,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell",Arthur Freed,30867651.86415094,87471305.66037735,5.0851,8.134,3465,1952
328425,The Gift,31-07-2015,"Thriller, Mystery, Drama",Joel Edgerton,"Joel Edgerton, Rebecca Hall, Jason Bateman, Tim Griffin, Allison Tolman","Joel Edgerton, Jason Blum",6791559.255243295,80111403.32878654,3.0661,6.701,3462,2015
140823,Saving Mr. Banks,29-11-2013,"Comedy, Drama, History",John Lee Hancock,"Emma Thompson, Tom Hanks, Colin Farrell, Paul Giamatti, Ruth Wilson","Philip Steuer, Ian Collie",48369463.03395047,155534882.9137566,2.1777,7.3,3464,2013
6023,P.S. I Love You,15-11-2007,"Drama, Romance",Richard LaGravenese,"Hilary Swank, Gerard Butler, Lisa Kudrow, Harry Connick Jr., Gina Gershon","Molly Smith, Broderick Johnson",46581445.14859507,243520558.03299376,3.5159,7.176,3462,2007
