release_year,decade,is_modern,is_summer,is_awards,log_adj_budget,popularity,vote_average,log_vote_count,has_rating,director_popularity,director_experience,actor_popularity,avg_actor_popularity,actor_experience,producer_popularity,genre_count,budget_popularity_ratio,director_x_budget,actor_x_budget,genre_Drama,genre_Comedy,genre_Thriller,genre_Action,genre_Adventure,genre_Crime,genre_Romance,genre_Horror,genre_Science_Fiction,genre_Fantasy,genre_Family,genre_Mystery,genre_Animation,genre_History,genre_War,target
1935.0,1930.0,0.0,0.0,0.0,14.255711858443288,2.2883,7.513,6.996681488176539,1.0,19.659875298591906,2.0,-0.99146315,13.081883417353952,1.0,8.11141180862441,2.0,4.33528323402466,280.2655174296529,186.49156056354533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1935.0,1930.0,0.0,0.0,1.0,15.855579805973957,1.5588,7.4,5.940171252720432,1.0,0.0,0.0,0.0,4.282051282051282,0.0,0.0,3.0,6.1964904666148035,0.0,67.89440583583719,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Avg
1936.0,1930.0,0.0,0.0,0.0,14.635017467182832,1.6375,7.574,5.961005339623274,1.0,0.0,0.0,5.285113600226141,1.7617045334087136,1.0,0.0,1.0,5.548821788505339,0.0,25.782576618451706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1936.0,1930.0,0.0,0.0,0.0,15.593215580512377,5.5052,8.281,8.305978210967302,1.0,2.5835139039364385,2.0,2.5835139039364385,0.8611713013121461,2.0,2.5835139039364385,3.0,2.3970386122659373,40.28528925933203,13.428429753110676,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1938.0,1930.0,0.0,1.0,0.0,15.897262962736278,2.1715,7.477,6.733401891837359,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0125375887549355,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Avg
1938.0,1930.0,0.0,0.0,0.0,15.585467643925094,11.1521,7.122,8.980172205725008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2825328662474051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,1.0,15.593215580512377,1.6169,7.829,7.074116816197362,1.0,12.846153846153845,1.0,0.0,-0.3057876016260162,0.0,0.0,2.0,5.958659322294461,200.31284630350513,-4.768211994002308,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
1939.0,1930.0,0.0,0.0,0.0,14.555461606300879,3.0408,7.609,7.107425474110705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.602123739433003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Avg
1939.0,1930.0,0.0,0.0,1.0,16.574044727883088,8.1586,7.916,8.377011160816375,1.0,0.0,0.0,0.0,4.282051282051282,0.0,0.0,3.0,1.80967011638057,0.0,70.97090947580706,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Hit
1939.0,1930.0,0.0,1.0,0.0,15.775537109135396,3.2842,7.317,5.37989735354046,1.0,0.0,0.0,1.2871794871794875,0.42905982905982915,1.0,0.0,3.0,3.6822597239007036,0.0,6.768649255372624,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hit
