movie_id,title,release_date,genres,director,actors,producers,budget,revenue,popularity,vote_average,vote_count,production_companies
314095,The Lost City of Z,2017-03-15,"Adventure, Drama, History",James Gray,"Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland, Angus Macfadyen","Dale Armin Johnson, Dede Gardner",30000000,8574339,3.3254,6.391,3068,"['Northern Ireland Screen', 'Plan B Entertainment', 'Sierra/Affinity', 'MICA Entertainment', 'MadRiver Pictures', 'Keep Your Head Productions']"
9462,The Way of the Dragon,1972-12-30,"Action, Crime",Bruce Lee,"Bruce Lee, Nora Miao, Chuck Norris, Wei Ping-Ao, Huang Tsung-Hsun","Raymond Chow, Bruce Lee",130000,27000000,7.1324,7.372,1269,"['Orange Sky Golden Harvest', 'Concord Productions']"
13477,When in Rome,2010-01-29,"Comedy, Fantasy, Romance",Mark Steven Johnson,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito, Will Arnett","Gary Foster, Mark Steven Johnson",55000000,43042835,2.2825,5.9,1266,"['Krasnoff / Foster Entertainment', 'Touchstone Pictures']"
10587,Police Academy 4: Citizens on Patrol,1987-04-02,"Comedy, Crime",Jim Drake,"Steve Guttenberg, Bubba Smith, Michael Winslow, David Graf, Tim Kazurinsky",Paul Maslansky,17000000,76800000,2.3297,5.5,1266,['Warner Bros. Pictures']
11697,The Man Who Shot Liberty Valance,1962-04-13,Western,John Ford,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien","Willis Goldbeck, John Ford",3200000,8000000,2.4722,7.821,1266,"['John Ford Productions', 'Paramount Pictures']"
9367,El Mariachi,1993-02-22,"Action, Crime, Thriller, Western",Robert Rodriguez,"Carlos Gallardo, Consuelo Gómez, Jaime de Hoyos, Peter Marquardt, Reinol Martinez","Carlos Gallardo, Robert Rodriguez",7225,2040920,2.0528,6.743,1266,['Los Hooligans Productions']
10523,W.,2008-10-17,"Drama, History",Oliver Stone,"Josh Brolin, Colin Hanks, Toby Jones, Dennis Boutsikaris, Jeffrey Wright","Paul Hanson, Moritz Borman",25100000,29506464,3.5572,6.163,682,"['Ixtlan Productions', 'Moritz Borman Productions']"
11400,The New World,2005-12-25,"Drama, History, Romance",Terrence Malick,"Colin Farrell, Q'orianka Kilcher, Christopher Plummer, Christian Bale, August Schellenberg",Sarah Green,30000000,30500000,2.6652,6.5,1263,"['New Line Cinema', 'Sarah Green Film']"
437586,mid90s,2018-10-19,"Drama, Comedy",Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges, Na-kel Smith, Olan Prenatt","Mikey Alfred, Ken Kao",1700000,9303022,3.7293,7.474,1772,"['A24', 'Waypoint Entertainment']"
244,King Kong,1933-04-07,"Adventure, Fantasy, Horror",Merian C. Cooper,"Robert Armstrong, Fay Wray, Bruce Cabot, Frank Reicher, Victor Wong","Ernest B. Schoedsack, Merian C. Cooper",672000,10001781,3.7385,7.6,1595,['RKO Radio Pictures']
491283,Judy,2019-09-27,"Drama, History, Music",Rupert Goold,"Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon",David Livingstone,10000000,38981322,3.2227,6.678,1252,"['Pathe', 'BBC Film', 'Ingenious Media', 'Calamity Films']"
10281,Friday the 13th Part VII - The New Blood,1988-05-13,"Horror, Thriller",John Carl Buechler,"Lar Park Lincoln, Kane Hodder, Terry Kiser, Kevin Spirtas, Susan Jennifer Sullivan","Iain Paterson, Frank Mancuso Jr.",2800000,19170001,3.264,5.483,1195,"['Friday Four Films Inc.', 'Sean S. Cunningham Films']"
9013,Midnight Run,1988-07-20,"Comedy, Crime, Thriller",Martin Brest,"Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, Dennis Farina",Martin Brest,30000000,38413606,2.6905,7.19,1253,"['Universal Pictures', 'City Light Films']"
11171,Mysterious Skin,2005-03-30,Drama,Gregg Araki,"Joseph Gordon-Levitt, Brady Corbet, Michelle Trachtenberg, Jeffrey Licon, Mary Lynn Rajskub","Gregg Araki, Jeffrey Kusama-Hinte",3000000,2148548,3.342,7.708,1255,"['Desperate Pictures', 'Fortissimo Films', 'Antidote Films', 'Next Wednesday Productions']"
823625,Blacklight,2022-02-10,"Action, Thriller, Adventure",Mark Williams,"Liam Neeson, Emmy Raver-Lampman, Taylor John Smith, Aidan Quinn, Tim Draxl","Coco Xiaolu Ma, Myles Nestel",43000000,15902207,3.674,6.153,1252,"['The Solution', 'Zero Gravity Management', 'Film Victoria', 'Lightstream Entertainment', 'Screen Australia', 'Footloose Productions', 'Sina Studios', 'Fourstar Film Partners Production', 'Elevate Production Finance', 'Monty the Dog Productions']"
1071585,M3GAN 2.0,2025-06-25,"Action, Science Fiction, Thriller",Gerard Johnstone,"Allison Williams, Amie Donald, Violet McGraw, Jenna Davis, Brian Jordan Alvarez","Jason Blum, James Wan",15000000,39085942,15.4268,7.233,1252,"['Blumhouse Productions', 'Atomic Monster', 'Divide / Conquer']"
1730,Inland Empire,2006-12-06,"Horror, Thriller, Mystery, Drama, Fantasy",David Lynch,"Laura Dern, Jeremy Irons, Justin Theroux, Harry Dean Stanton, Karolina Gruszka","Mary Sweeney, David Lynch",15000000,4304157,2.8929,7.0,1252,"['Absurda', 'StudioCanal', 'Camerimage Film', 'Asymmetrical Productions', 'Fundacja Tumult']"
182219,Serial Teachers,2013-04-17,Comedy,Pierre-François Martin-Laval,"Christian Clavier, Isabelle Nanty, Pierre-François Martin-Laval, Kev Adams, François Morel",Romain Rojtman,12000000,32867967,0.0862,5.437,1250,['UGC']
9909,Dangerous Minds,1995-08-11,Drama,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde","Don Simpson, Jerry Bruckheimer",23000000,179519401,3.5743,6.95,1248,"['Don Simpson/Jerry Bruckheimer Films', 'Hollywood Pictures', 'Via Rosa Productions']"
2665,Airplane II: The Sequel,1982-12-10,Comedy,Ken Finkleman,"Lloyd Bridges, Raymond Burr, Chuck Connors, Rip Torn, John Dehner",Howard W. Koch,15000000,27150534,3.102,6.078,1248,['Paramount Pictures']
2977,Becoming Jane,2007-03-02,"Romance, Drama",Julian Jarrold,"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith","Graham Broadbent, Robert Bernstein",16500000,39380831,3.2747,7.311,1248,"['Ecosse Films', '2 Entertain', 'Scion Films', 'BBC Film', 'Blueprint Pictures', 'Fís Éireann/Screen Ireland', 'HanWay Films', 'UK Film Council']"
15357,District 13: Ultimatum,2009-02-18,"Action, Thriller, Crime",Patrick Alessandrin,"Cyril Raffaelli, David Belle, Philippe Torreton, Daniel Duval, Élodie Yung",Luc Besson,15000000,14103752,2.7177,6.383,1248,"['CinéCinéma', 'TF1 International', 'Sofica EuropaCorp', 'EuropaCorp', 'Canal+', 'CiBy 2000']"
807172,The Exorcist: Believer,2023-10-04,Horror,David Gordon Green,"Leslie Odom Jr., Lidya Jewett, Olivia O'Neill, Ann Dowd, Jennifer Nettles","Jason Blum, James G. Robinson",30000000,136998069,4.3722,5.811,1247,"['Universal Pictures', 'Blumhouse Productions', 'Morgan Creek Entertainment', 'Rough House Pictures']"
342521,Keanu,2016-04-29,"Action, Comedy, Crime",Peter Atencio,"Jordan Peele, Keegan-Michael Key, Keanu Reeves, Tiffany Haddish, Method Man","Joel Zadak, Jordan Peele",15000000,20749853,3.4878,6.053,1124,"['New Line Cinema', 'Monkeypaw Productions', 'Artists First', 'RatPac Entertainment']"
4912,Confessions of a Dangerous Mind,2002-12-31,"Comedy, Crime, Drama, Romance, Thriller, History",George Clooney,"Sam Rockwell, Drew Barrymore, George Clooney, Julia Roberts, Rutger Hauer",Andrew Lazar,30000000,33013805,1.8426,6.688,1249,"['Miramax', 'Renaissance Films', 'Mad Chance', 'Section Eight', 'JVS']"
1160018,Kill,2024-07-03,"Action, Crime, Thriller, Drama",Nikhil Nagesh Bhat,"Lakshya Lalwani, Raghav Juyal, Tanya Maniktala, Ashish Vidhyarthi, Abhishek Chauhan","Karan Johar, Hiroo Johar",4800000,5600000,3.5655,7.095,480,"['Sikhya Entertainment', 'Dharma Productions']"
242512,Ouija,2014-10-24,Horror,Stiles White,"Daren Kagasoff, Matthew Settle, Olivia Cooke, Ana Coto, Shelley Hennig","Michael Bay, Jason Blum",5000000,103600000,3.772,5.134,2762,"['Platinum Dunes', 'Blumhouse Productions', 'Hasbro Studios']"
11963,Three Days of the Condor,1975-09-24,"Thriller, Mystery",Sydney Pollack,"Robert Redford, Faye Dunaway, Cliff Robertson, Max von Sydow, John Houseman","Stanley Schneider, Sydney Pollack",7800000,41509797,3.1103,7.275,1343,"['The De Laurentiis Company', 'Tom Ward Enterprises', 'Wildwood Enterprises']"
9264,Poison Ivy,1992-05-08,"Thriller, Drama",Katt Shea,"Drew Barrymore, Tom Skerritt, Sara Gilbert, Cheryl Ladd, Alan Stock",Andy Ruben,3000000,1829804,3.0161,5.437,395,['New Line Cinema']
16161,Baby Boy,2001-06-27,"Crime, Drama, Romance, Thriller",John Singleton,"Tyrese Gibson, Taraji P. Henson, Omar Gooding, Ving Rhames, Snoop Dogg",John Singleton,16000000,29381649,3.6406,7.1,347,"['New Deal Productions', 'Columbia Pictures']"
15159,The Pink Panther 2,2009-02-06,"Comedy, Mystery",Harald Zwart,"Steve Martin, Jean Reno, Emily Mortimer, Andy Garcia, Alfred Molina",Robert Simonds,70000000,75871032,3.0422,5.669,1242,"['Metro-Goldwyn-Mayer', 'Columbia Pictures', 'Robert Simonds Productions']"
